YEAR,MO,DY,T2M,PS,WS10M,WD10M
2001,4,17,16.77,86.71,4.36,269.31
2001,4,18,15.08,86.35,4.2,119.25
2001,4,19,15.53,85.82,6.77,157.5
2001,4,20,10.93,86.26,6.95,284.31
2001,4,21,9.97,86.7,6.27,316.19
2001,4,22,11.63,86.73,4.4,193.25
2001,4,23,15.67,86.77,2.15,168.88
2001,4,24,18.03,86.92,1.83,174.0
2001,4,25,17.48,87.14,2.54,234.94
2001,4,26,19.79,87.11,4.55,225.88
2001,4,27,16.21,87.04,5.34,270.94
2001,4,28,13.35,86.95,4.68,174.06
2001,4,29,16.02,86.48,4.82,197.25
2001,4,30,12.52,86.36,6.16,331.75
2001,5,1,10.05,86.45,4.87,82.94
2001,5,2,10.44,86.53,6.29,332.88
2001,5,3,9.39,86.25,5.88,275.81
2001,5,4,7.32,86.42,6.91,317.94
2001,5,5,11.94,86.76,5.55,252.25
2001,5,6,14.0,86.79,4.3,197.38
2001,5,7,14.11,86.81,4.0,106.06
2001,5,8,17.76,86.6,5.85,140.31
2001,5,9,15.23,86.39,4.9,232.06
2001,5,10,11.51,86.84,7.15,270.69
2001,5,11,14.69,87.0,3.74,152.69
2001,5,12,17.76,86.97,5.89,185.75
2001,5,13,19.27,86.82,5.98,179.62
2001,5,14,18.01,86.73,4.51,215.88
2001,5,15,19.7,86.77,3.96,184.12
2001,5,16,21.87,86.81,5.5,180.56
2001,5,17,21.3,86.86,3.8,172.5
2001,5,18,22.05,86.56,6.26,257.44
2001,5,19,15.76,86.55,7.47,136.19
2001,5,20,14.6,86.84,5.98,170.81
2001,5,21,17.15,86.89,3.55,147.5
2001,5,22,20.29,86.94,4.16,204.06
2001,5,23,20.29,87.09,3.97,129.62
2001,5,24,21.75,87.2,5.17,139.06
2001,5,25,20.49,87.22,4.48,33.0
2001,5,26,21.51,87.17,4.48,56.69
2001,5,27,21.91,87.4,4.49,58.56
2001,5,28,23.5,87.59,5.16,174.94
2001,5,29,24.23,87.39,5.09,247.0
2001,5,30,23.46,87.11,4.59,183.38
2001,5,31,24.39,87.01,4.02,148.06
2001,6,1,24.19,87.13,4.3,28.62
2001,6,2,23.86,87.3,4.67,206.25
2001,6,3,23.98,87.49,5.08,169.19
2001,6,4,24.9,87.69,3.43,46.31
2001,6,5,26.31,87.6,3.45,159.62
2001,6,6,27.44,87.4,4.18,205.69
2001,6,7,28.11,87.25,3.34,178.0
2001,6,8,26.92,87.09,4.38,157.12
2001,6,9,27.35,86.92,6.64,240.88
2001,6,10,21.93,86.79,7.26,207.88
2001,6,11,19.98,86.77,8.72,20.88
2001,6,12,20.44,86.94,5.98,126.5
2001,6,13,22.26,87.12,3.82,112.94
2001,6,14,26.89,87.1,3.14,177.81
2001,6,15,27.58,87.07,5.24,216.06
2001,6,16,23.78,87.17,4.47,96.5
2001,6,17,24.58,87.07,4.12,118.5
2001,6,18,26.09,87.06,3.89,116.75
2001,6,19,27.08,87.1,5.1,185.5
2001,6,20,28.64,87.07,5.07,246.56
2001,6,21,27.15,87.08,3.45,123.25
2001,6,22,29.2,87.02,5.4,215.44
2001,6,23,29.52,87.07,4.66,236.62
2001,6,24,30.63,87.23,4.19,203.44
2001,6,25,29.72,87.46,4.05,72.44
2001,6,26,29.15,87.5,4.29,116.19
2001,6,27,26.63,87.3,5.27,206.75
2001,6,28,24.12,87.27,5.37,22.5
2001,6,29,27.26,87.22,4.96,168.19
2001,6,30,27.94,87.32,3.29,159.19
2001,7,1,28.55,87.5,3.12,169.81
2001,7,2,29.52,87.51,4.58,196.06
2001,7,3,27.51,87.2,4.25,118.12
2001,7,4,27.48,86.77,5.96,173.81
2001,7,5,27.12,86.63,5.65,198.25
2001,7,6,25.22,86.9,5.27,238.5
